"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1979","Verify Subscription in home page","chromium","2026-08-25","passed","2026-08-25","Home","features/home/home.feature.spec.js","",""
"","3289","Remove Products From Cart","chromium","2026-08-25","passed","2026-08-25","Products","features/products/products.feature.spec.js","",""
"","20189","Place Order: Login before Checkout","chromium","2026-08-25","passed","2026-08-25","Checkout","features/checkout/checkout.feature.spec.js","",""
"","6999","Register user with existing email","chromium","2026-08-25","passed","2026-08-25","Register","features/register/register.feature.spec.js","",""
"","1219","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-08-25","passed","2026-08-25","Home","features/home/home.feature.spec.js","",""
"","16694","Download Invoice after purchase order","chromium","2026-08-25","passed","2026-08-25","Checkout","features/checkout/checkout.feature.spec.js","",""
"","14074","Verify address details in checkout page","chromium","2026-08-25","passed","2026-08-25","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2309","Submit contact us form successfully","chromium","2026-08-25","passed","2026-08-25","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","19269","Place Order: Register before Checkout","chromium","2026-08-25","passed","2026-08-25","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3934","Add Products in Cart","chromium","2026-08-25","passed","2026-08-25","Products","features/products/products.feature.spec.js","",""
"","2579","Verify all products and product detail page","chromium","2026-08-25","passed","2026-08-25","Products","features/products/products.feature.spec.js","",""
"","10200","Logout User","chromium","2026-08-25","passed","2026-08-25","Login","features/login/login.feature.spec.js","",""
"","3560","Login User with correct email and password","chromium","2026-08-25","passed","2026-08-25","Login","features/login/login.feature.spec.js","",""
"","13536","Search Products and Verify Cart After Login","chromium","2026-08-25","passed","2026-08-25","Products","features/products/products.feature.spec.js","",""
"","2108","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-08-25","passed","2026-08-25","Home","features/home/home.feature.spec.js","",""
"","3018","Search Product","chromium","2026-08-25","passed","2026-08-25","Products","features/products/products.feature.spec.js","",""
"","1585","Verify Subscription in Cart page","chromium","2026-08-25","passed","2026-08-25","Home","features/home/home.feature.spec.js","",""
"","6164","Navigate to test cases page successfully","chromium","2026-08-25","passed","2026-08-25","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","3011","Add review on product","chromium","2026-08-25","passed","2026-08-25","Products","features/products/products.feature.spec.js","",""
"","4913","View & Cart Brand Products","chromium","2026-08-25","passed","2026-08-25","Brand Products","features/brand/brand.feature.spec.js","",""
"","4330","View Category Products","chromium","2026-08-25","passed","2026-08-25","Category","features/category/category.feature.spec.js","",""
"","8967","Login User with incorrect email and password","chromium","2026-08-25","passed","2026-08-25","Login","features/login/login.feature.spec.js","",""
"","7770","Verify Product quantity in Cart","chromium","2026-08-25","passed","2026-08-25","Products","features/products/products.feature.spec.js","",""
"","3655","Register user","chromium","2026-08-25","passed","2026-08-25","Register","features/register/register.feature.spec.js","",""
"","13673","Place Order: Register while Checkout","chromium","2026-08-25","passed","2026-08-25","Checkout","features/checkout/checkout.feature.spec.js","",""
"","12226","Add to cart from Recommended items","chromium","2026-08-25","passed","2026-08-25","Home","features/home/home.feature.spec.js","",""
