"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13166","Add to cart from Recommended items","chromium","2026-09-02","passed","2026-09-02","Home","features/home/home.feature.spec.js","",""
"","7846","Logout User","chromium","2026-09-02","passed","2026-09-02","Login","features/login/login.feature.spec.js","",""
"","2214","Verify Subscription in Cart page","chromium","2026-09-02","passed","2026-09-02","Home","features/home/home.feature.spec.js","",""
"","4161","View Category Products","chromium","2026-09-02","passed","2026-09-02","Category","features/category/category.feature.spec.js","",""
"","1466","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-09-02","passed","2026-09-02","Home","features/home/home.feature.spec.js","",""
"","18674","Place Order: Login before Checkout","chromium","2026-09-02","passed","2026-09-02","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3187","Submit contact us form successfully","chromium","2026-09-02","passed","2026-09-02","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","8851","Login User with correct email and password","chromium","2026-09-02","passed","2026-09-02","Login","features/login/login.feature.spec.js","",""
"","5015","Add Products in Cart","chromium","2026-09-02","passed","2026-09-02","Products","features/products/products.feature.spec.js","",""
"","17221","Place Order: Register before Checkout","chromium","2026-09-02","passed","2026-09-02","Checkout","features/checkout/checkout.feature.spec.js","",""
"","4344","View & Cart Brand Products","chromium","2026-09-02","passed","2026-09-02","Brand Products","features/brand/brand.feature.spec.js","",""
"","2178","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-09-02","passed","2026-09-02","Home","features/home/home.feature.spec.js","",""
"","1496","Verify Subscription in home page","chromium","2026-09-02","passed","2026-09-02","Home","features/home/home.feature.spec.js","",""
"","3002","Remove Products From Cart","chromium","2026-09-02","passed","2026-09-02","Products","features/products/products.feature.spec.js","",""
"","13083","Search Products and Verify Cart After Login","chromium","2026-09-02","passed","2026-09-02","Products","features/products/products.feature.spec.js","",""
"","6397","Navigate to test cases page successfully","chromium","2026-09-02","passed","2026-09-02","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","3654","Register user","chromium","2026-09-02","passed","2026-09-02","Register","features/register/register.feature.spec.js","",""
"","1569","Verify all products and product detail page","chromium","2026-09-02","passed","2026-09-02","Products","features/products/products.feature.spec.js","",""
"","2321","Register user with existing email","chromium","2026-09-02","passed","2026-09-02","Register","features/register/register.feature.spec.js","",""
"","14699","Place Order: Register while Checkout","chromium","2026-09-02","passed","2026-09-02","Checkout","features/checkout/checkout.feature.spec.js","",""
"","15690","Download Invoice after purchase order","chromium","2026-09-02","passed","2026-09-02","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2690","Verify Product quantity in Cart","chromium","2026-09-02","passed","2026-09-02","Products","features/products/products.feature.spec.js","",""
"","6720","Login User with incorrect email and password","chromium","2026-09-02","passed","2026-09-02","Login","features/login/login.feature.spec.js","",""
"","2849","Add review on product","chromium","2026-09-02","passed","2026-09-02","Products","features/products/products.feature.spec.js","",""
"","12979","Verify address details in checkout page","chromium","2026-09-02","passed","2026-09-02","Checkout","features/checkout/checkout.feature.spec.js","",""
"","1901","Search Product","chromium","2026-09-02","passed","2026-09-02","Products","features/products/products.feature.spec.js","",""
