"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8277","Register user with existing email","chromium","2026-08-24","passed","2026-08-24","Register","features/register/register.feature.spec.js","",""
"","18493","Place Order: Register before Checkout","chromium","2026-08-24","passed","2026-08-24","Checkout","features/checkout/checkout.feature.spec.js","",""
"","4260","Verify Product quantity in Cart","chromium","2026-08-24","passed","2026-08-24","Products","features/products/products.feature.spec.js","",""
"","3167","Verify all products and product detail page","chromium","2026-08-24","passed","2026-08-24","Products","features/products/products.feature.spec.js","",""
"","13954","Verify address details in checkout page","chromium","2026-08-24","passed","2026-08-24","Checkout","features/checkout/checkout.feature.spec.js","",""
"","15988","Place Order: Register while Checkout","chromium","2026-08-24","passed","2026-08-24","Checkout","features/checkout/checkout.feature.spec.js","",""
"","5611","View & Cart Brand Products","chromium","2026-08-24","passed","2026-08-24","Brand Products","features/brand/brand.feature.spec.js","",""
"","5131","Logout User","chromium","2026-08-24","passed","2026-08-24","Login","features/login/login.feature.spec.js","",""
"","1854","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-08-24","passed","2026-08-24","Home","features/home/home.feature.spec.js","",""
"","2140","Verify Subscription in Cart page","chromium","2026-08-24","passed","2026-08-24","Home","features/home/home.feature.spec.js","",""
"","3151","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-08-24","passed","2026-08-24","Home","features/home/home.feature.spec.js","",""
"","8662","Add Products in Cart","chromium","2026-08-24","passed","2026-08-24","Products","features/products/products.feature.spec.js","",""
"","13548","Add to cart from Recommended items","chromium","2026-08-24","passed","2026-08-24","Home","features/home/home.feature.spec.js","",""
"","4675","View Category Products","chromium","2026-08-24","passed","2026-08-24","Category","features/category/category.feature.spec.js","",""
"","10602","Login User with correct email and password","chromium","2026-08-24","passed","2026-08-24","Login","features/login/login.feature.spec.js","",""
"","5588","Remove Products From Cart","chromium","2026-08-24","passed","2026-08-24","Products","features/products/products.feature.spec.js","",""
"","4830","Register user","chromium","2026-08-24","passed","2026-08-24","Register","features/register/register.feature.spec.js","",""
"","3171","Submit contact us form successfully","chromium","2026-08-24","passed","2026-08-24","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","18093","Download Invoice after purchase order","chromium","2026-08-24","passed","2026-08-24","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2200","Navigate to test cases page successfully","chromium","2026-08-24","passed","2026-08-24","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","3843","Add review on product","chromium","2026-08-24","passed","2026-08-24","Products","features/products/products.feature.spec.js","",""
"","3569","Search Product","chromium","2026-08-24","passed","2026-08-24","Products","features/products/products.feature.spec.js","",""
"","1951","Verify Subscription in home page","chromium","2026-08-24","passed","2026-08-24","Home","features/home/home.feature.spec.js","",""
"","19922","Place Order: Login before Checkout","chromium","2026-08-24","passed","2026-08-24","Checkout","features/checkout/checkout.feature.spec.js","",""
"","12465","Search Products and Verify Cart After Login","chromium","2026-08-24","passed","2026-08-24","Products","features/products/products.feature.spec.js","",""
"","6932","Login User with incorrect email and password","chromium","2026-08-24","passed","2026-08-24","Login","features/login/login.feature.spec.js","",""
