"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32550","Place Order: Login before Checkout","chromium","2026-09-25","passed","2026-09-25","Checkout","features/checkout/checkout.feature.spec.js","",""
"","9415","Navigate to test cases page successfully","chromium","2026-09-25","passed","2026-09-25","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","29838","Download Invoice after purchase order","chromium","2026-09-25","passed","2026-09-25","Checkout","features/checkout/checkout.feature.spec.js","",""
"","14657","Logout User","chromium","2026-09-25","passed","2026-09-25","Login","features/login/login.feature.spec.js","",""
"","28452","Place Order: Register before Checkout","chromium","2026-09-25","passed","2026-09-25","Checkout","features/checkout/checkout.feature.spec.js","",""
"","7763","Remove Products From Cart","chromium","2026-09-25","passed","2026-09-25","Products","features/products/products.feature.spec.js","",""
"","5773","View Category Products","chromium","2026-09-25","passed","2026-09-25","Category","features/category/category.feature.spec.js","",""
"","2227","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-09-25","passed","2026-09-25","Home","features/home/home.feature.spec.js","",""
"","9284","Register user","chromium","2026-09-25","passed","2026-09-25","Register","features/register/register.feature.spec.js","",""
"","8371","Add Products in Cart","chromium","2026-09-25","passed","2026-09-25","Products","features/products/products.feature.spec.js","",""
"","28670","Place Order: Register while Checkout","chromium","2026-09-25","passed","2026-09-25","Checkout","features/checkout/checkout.feature.spec.js","",""
"","6069","Add review on product","chromium","2026-09-25","passed","2026-09-25","Products","features/products/products.feature.spec.js","",""
"","9046","Register user with existing email","chromium","2026-09-25","passed","2026-09-25","Register","features/register/register.feature.spec.js","",""
"","5066","Verify all products and product detail page","chromium","2026-09-25","passed","2026-09-25","Products","features/products/products.feature.spec.js","",""
"","4667","Search Product","chromium","2026-09-25","passed","2026-09-25","Products","features/products/products.feature.spec.js","",""
"","4084","Verify Subscription in Cart page","chromium","2026-09-25","passed","2026-09-25","Home","features/home/home.feature.spec.js","",""
"","10051","Verify Product quantity in Cart","chromium","2026-09-25","passed","2026-09-25","Products","features/products/products.feature.spec.js","",""
"","7890","Login User with incorrect email and password","chromium","2026-09-25","passed","2026-09-25","Login","features/login/login.feature.spec.js","",""
"","8320","Submit contact us form successfully","chromium","2026-09-25","passed","2026-09-25","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","10105","Add to cart from Recommended items","chromium","2026-09-25","passed","2026-09-25","Home","features/home/home.feature.spec.js","",""
"","27291","Search Products and Verify Cart After Login","chromium","2026-09-25","passed","2026-09-25","Products","features/products/products.feature.spec.js","",""
"","3143","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-09-25","passed","2026-09-25","Home","features/home/home.feature.spec.js","",""
"","7375","View & Cart Brand Products","chromium","2026-09-25","passed","2026-09-25","Brand Products","features/brand/brand.feature.spec.js","",""
"","13410","Login User with correct email and password","chromium","2026-09-25","passed","2026-09-25","Login","features/login/login.feature.spec.js","",""
"","21075","Verify address details in checkout page","chromium","2026-09-25","passed","2026-09-25","Checkout","features/checkout/checkout.feature.spec.js","",""
"","4634","Verify Subscription in home page","chromium","2026-09-25","passed","2026-09-25","Home","features/home/home.feature.spec.js","",""
