"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3254","Verify Subscription in home page","chromium","2026-09-18","passed","2026-09-18","Home","features/home/home.feature.spec.js","",""
"","6734","View Category Products","chromium","2026-09-18","passed","2026-09-18","Category","features/category/category.feature.spec.js","",""
"","25445","Verify address details in checkout page","chromium","2026-09-18","passed","2026-09-18","Checkout","features/checkout/checkout.feature.spec.js","",""
"","7017","Verify Product quantity in Cart","chromium","2026-09-18","passed","2026-09-18","Products","features/products/products.feature.spec.js","",""
"","23746","Place Order: Register while Checkout","chromium","2026-09-18","passed","2026-09-18","Checkout","features/checkout/checkout.feature.spec.js","",""
"","4427","Search Product","chromium","2026-09-18","passed","2026-09-18","Products","features/products/products.feature.spec.js","",""
"","4567","Verify Subscription in Cart page","chromium","2026-09-18","passed","2026-09-18","Home","features/home/home.feature.spec.js","",""
"","8986","Register user","chromium","2026-09-18","passed","2026-09-18","Register","features/register/register.feature.spec.js","",""
"","14823","Add to cart from Recommended items","chromium","2026-09-18","passed","2026-09-18","Home","features/home/home.feature.spec.js","",""
"","24500","Download Invoice after purchase order","chromium","2026-09-18","passed","2026-09-18","Checkout","features/checkout/checkout.feature.spec.js","",""
"","9305","Register user with existing email","chromium","2026-09-18","passed","2026-09-18","Register","features/register/register.feature.spec.js","",""
"","2241","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-09-18","passed","2026-09-18","Home","features/home/home.feature.spec.js","",""
"","7815","Remove Products From Cart","chromium","2026-09-18","passed","2026-09-18","Products","features/products/products.feature.spec.js","",""
"","7224","View & Cart Brand Products","chromium","2026-09-18","passed","2026-09-18","Brand Products","features/brand/brand.feature.spec.js","",""
"","27100","Place Order: Register before Checkout","chromium","2026-09-18","passed","2026-09-18","Checkout","features/checkout/checkout.feature.spec.js","",""
"","6020","Verify all products and product detail page","chromium","2026-09-18","passed","2026-09-18","Products","features/products/products.feature.spec.js","",""
"","9372","Add Products in Cart","chromium","2026-09-18","passed","2026-09-18","Products","features/products/products.feature.spec.js","",""
"","31666","Place Order: Login before Checkout","chromium","2026-09-18","passed","2026-09-18","Checkout","features/checkout/checkout.feature.spec.js","",""
"","9487","Navigate to test cases page successfully","chromium","2026-09-18","passed","2026-09-18","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","9127","Login User with correct email and password","chromium","2026-09-18","passed","2026-09-18","Login","features/login/login.feature.spec.js","",""
"","8347","Login User with incorrect email and password","chromium","2026-09-18","passed","2026-09-18","Login","features/login/login.feature.spec.js","",""
"","4787","Add review on product","chromium","2026-09-18","passed","2026-09-18","Products","features/products/products.feature.spec.js","",""
"","2518","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-09-18","passed","2026-09-18","Home","features/home/home.feature.spec.js","",""
"","20266","Search Products and Verify Cart After Login","chromium","2026-09-18","passed","2026-09-18","Products","features/products/products.feature.spec.js","",""
"","12752","Logout User","chromium","2026-09-18","passed","2026-09-18","Login","features/login/login.feature.spec.js","",""
"","5890","Submit contact us form successfully","chromium","2026-09-18","passed","2026-09-18","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
