"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18709","Place Order: Register before Checkout","chromium","2026-09-13","passed","2026-09-13","Checkout","features/checkout/checkout.feature.spec.js","",""
"","17578","Place Order: Register while Checkout","chromium","2026-09-13","passed","2026-09-13","Checkout","features/checkout/checkout.feature.spec.js","",""
"","17649","Verify address details in checkout page","chromium","2026-09-13","passed","2026-09-13","Checkout","features/checkout/checkout.feature.spec.js","",""
"","16873","Download Invoice after purchase order","chromium","2026-09-13","passed","2026-09-13","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3450","Add review on product","chromium","2026-09-13","passed","2026-09-13","Products","features/products/products.feature.spec.js","",""
"","3199","Verify Subscription in Cart page","chromium","2026-09-13","passed","2026-09-13","Home","features/home/home.feature.spec.js","",""
"","3912","Search Product","chromium","2026-09-13","passed","2026-09-13","Products","features/products/products.feature.spec.js","",""
"","5773","View Category Products","chromium","2026-09-13","passed","2026-09-13","Category","features/category/category.feature.spec.js","",""
"","4532","Remove Products From Cart","chromium","2026-09-13","passed","2026-09-13","Products","features/products/products.feature.spec.js","",""
"","2339","Navigate to test cases page successfully","chromium","2026-09-13","passed","2026-09-13","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","10121","Search Products and Verify Cart After Login","chromium","2026-09-13","passed","2026-09-13","Products","features/products/products.feature.spec.js","",""
"","4277","Submit contact us form successfully","chromium","2026-09-13","passed","2026-09-13","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","2625","Verify all products and product detail page","chromium","2026-09-13","passed","2026-09-13","Products","features/products/products.feature.spec.js","",""
"","7352","Login User with incorrect email and password","chromium","2026-09-13","passed","2026-09-13","Login","features/login/login.feature.spec.js","",""
"","5423","Add Products in Cart","chromium","2026-09-13","passed","2026-09-13","Products","features/products/products.feature.spec.js","",""
"","8296","Add to cart from Recommended items","chromium","2026-09-13","passed","2026-09-13","Home","features/home/home.feature.spec.js","",""
"","6011","View & Cart Brand Products","chromium","2026-09-13","passed","2026-09-13","Brand Products","features/brand/brand.feature.spec.js","",""
"","4308","Logout User","chromium","2026-09-13","passed","2026-09-13","Login","features/login/login.feature.spec.js","",""
"","4065","Verify Product quantity in Cart","chromium","2026-09-13","passed","2026-09-13","Products","features/products/products.feature.spec.js","",""
"","5440","Register user","chromium","2026-09-13","passed","2026-09-13","Register","features/register/register.feature.spec.js","",""
"","4650","Login User with correct email and password","chromium","2026-09-13","passed","2026-09-13","Login","features/login/login.feature.spec.js","",""
"","21623","Place Order: Login before Checkout","chromium","2026-09-13","passed","2026-09-13","Checkout","features/checkout/checkout.feature.spec.js","",""
"","8074","Register user with existing email","chromium","2026-09-13","passed","2026-09-13","Register","features/register/register.feature.spec.js","",""
"","1735","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-09-13","passed","2026-09-13","Home","features/home/home.feature.spec.js","",""
"","2708","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-09-13","passed","2026-09-13","Home","features/home/home.feature.spec.js","",""
"","2212","Verify Subscription in home page","chromium","2026-09-13","passed","2026-09-13","Home","features/home/home.feature.spec.js","",""
