"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15471","Place Order: Register while Checkout","chromium","2026-09-12","passed","2026-09-12","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2605","Add review on product","chromium","2026-09-12","passed","2026-09-12","Products","features/products/products.feature.spec.js","",""
"","14727","Verify address details in checkout page","chromium","2026-09-12","passed","2026-09-12","Checkout","features/checkout/checkout.feature.spec.js","",""
"","21502","Place Order: Login before Checkout","chromium","2026-09-12","passed","2026-09-12","Checkout","features/checkout/checkout.feature.spec.js","",""
"","9399","Search Products and Verify Cart After Login","chromium","2026-09-12","passed","2026-09-12","Products","features/products/products.feature.spec.js","",""
"","1800","Verify Subscription in home page","chromium","2026-09-12","passed","2026-09-12","Home","features/home/home.feature.spec.js","",""
"","8361","Verify Product quantity in Cart","chromium","2026-09-12","passed","2026-09-12","Products","features/products/products.feature.spec.js","",""
"","5371","View Category Products","chromium","2026-09-12","passed","2026-09-12","Category","features/category/category.feature.spec.js","",""
"","2115","Navigate to test cases page successfully","chromium","2026-09-12","passed","2026-09-12","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","4362","Logout User","chromium","2026-09-12","passed","2026-09-12","Login","features/login/login.feature.spec.js","",""
"","1990","Verify Subscription in Cart page","chromium","2026-09-12","passed","2026-09-12","Home","features/home/home.feature.spec.js","",""
"","17413","Download Invoice after purchase order","chromium","2026-09-12","passed","2026-09-12","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2026","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-09-12","passed","2026-09-12","Home","features/home/home.feature.spec.js","",""
"","8334","Submit contact us form successfully","chromium","2026-09-12","passed","2026-09-12","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","6218","Add Products in Cart","chromium","2026-09-12","passed","2026-09-12","Products","features/products/products.feature.spec.js","",""
"","7284","Login User with incorrect email and password","chromium","2026-09-12","passed","2026-09-12","Login","features/login/login.feature.spec.js","",""
"","4497","Login User with correct email and password","chromium","2026-09-12","passed","2026-09-12","Login","features/login/login.feature.spec.js","",""
"","2679","Verify all products and product detail page","chromium","2026-09-12","passed","2026-09-12","Products","features/products/products.feature.spec.js","",""
"","7192","Register user with existing email","chromium","2026-09-12","passed","2026-09-12","Register","features/register/register.feature.spec.js","",""
"","3857","Remove Products From Cart","chromium","2026-09-12","passed","2026-09-12","Products","features/products/products.feature.spec.js","",""
"","3389","Search Product","chromium","2026-09-12","passed","2026-09-12","Products","features/products/products.feature.spec.js","",""
"","1096","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-09-12","passed","2026-09-12","Home","features/home/home.feature.spec.js","",""
"","4263","Register user","chromium","2026-09-12","passed","2026-09-12","Register","features/register/register.feature.spec.js","",""
"","7673","Add to cart from Recommended items","chromium","2026-09-12","passed","2026-09-12","Home","features/home/home.feature.spec.js","",""
"","5199","View & Cart Brand Products","chromium","2026-09-12","passed","2026-09-12","Brand Products","features/brand/brand.feature.spec.js","",""
"","19272","Place Order: Register before Checkout","chromium","2026-09-12","passed","2026-09-12","Checkout","features/checkout/checkout.feature.spec.js","",""
