"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9677","Login User with correct email and password","chromium","2026-09-22","passed","2026-09-22","Login","features/login/login.feature.spec.js","",""
"","6776","Navigate to test cases page successfully","chromium","2026-09-22","passed","2026-09-22","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","2788","Submit contact us form successfully","chromium","2026-09-22","passed","2026-09-22","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","7874","Register user with existing email","chromium","2026-09-22","passed","2026-09-22","Register","features/register/register.feature.spec.js","",""
"","6450","View & Cart Brand Products","chromium","2026-09-22","passed","2026-09-22","Brand Products","features/brand/brand.feature.spec.js","",""
"","3233","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-09-22","passed","2026-09-22","Home","features/home/home.feature.spec.js","",""
"","3754","Add review on product","chromium","2026-09-22","passed","2026-09-22","Products","features/products/products.feature.spec.js","",""
"","4137","Remove Products From Cart","chromium","2026-09-22","passed","2026-09-22","Products","features/products/products.feature.spec.js","",""
"","2264","Verify all products and product detail page","chromium","2026-09-22","passed","2026-09-22","Products","features/products/products.feature.spec.js","",""
"","9612","Logout User","chromium","2026-09-22","passed","2026-09-22","Login","features/login/login.feature.spec.js","",""
"","3301","Verify Subscription in Cart page","chromium","2026-09-22","passed","2026-09-22","Home","features/home/home.feature.spec.js","",""
"","8866","Add to cart from Recommended items","chromium","2026-09-22","passed","2026-09-22","Home","features/home/home.feature.spec.js","",""
"","7309","Add Products in Cart","chromium","2026-09-22","passed","2026-09-22","Products","features/products/products.feature.spec.js","",""
"","7299","Login User with incorrect email and password","chromium","2026-09-22","passed","2026-09-22","Login","features/login/login.feature.spec.js","",""
"","5779","View Category Products","chromium","2026-09-22","passed","2026-09-22","Category","features/category/category.feature.spec.js","",""
"","2430","Verify Subscription in home page","chromium","2026-09-22","passed","2026-09-22","Home","features/home/home.feature.spec.js","",""
"","16459","Verify address details in checkout page","chromium","2026-09-22","passed","2026-09-22","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3353","Search Product","chromium","2026-09-22","passed","2026-09-22","Products","features/products/products.feature.spec.js","",""
"","2421","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-09-22","passed","2026-09-22","Home","features/home/home.feature.spec.js","",""
"","24641","Place Order: Login before Checkout","chromium","2026-09-22","passed","2026-09-22","Checkout","features/checkout/checkout.feature.spec.js","",""
"","20050","Download Invoice after purchase order","chromium","2026-09-22","passed","2026-09-22","Checkout","features/checkout/checkout.feature.spec.js","",""
"","20725","Place Order: Register before Checkout","chromium","2026-09-22","passed","2026-09-22","Checkout","features/checkout/checkout.feature.spec.js","",""
"","18411","Place Order: Register while Checkout","chromium","2026-09-22","passed","2026-09-22","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3796","Verify Product quantity in Cart","chromium","2026-09-22","passed","2026-09-22","Products","features/products/products.feature.spec.js","",""
"","5334","Register user","chromium","2026-09-22","passed","2026-09-22","Register","features/register/register.feature.spec.js","",""
"","10846","Search Products and Verify Cart After Login","chromium","2026-09-22","passed","2026-09-22","Products","features/products/products.feature.spec.js","",""
