"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17027","Search Products and Verify Cart After Login","chromium","2026-08-27","passed","2026-08-27","Products","features/products/products.feature.spec.js","",""
"","17587","Place Order: Register before Checkout","chromium","2026-08-27","passed","2026-08-27","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2151","Verify Subscription in Cart page","chromium","2026-08-27","passed","2026-08-27","Home","features/home/home.feature.spec.js","",""
"","5637","View Category Products","chromium","2026-08-27","passed","2026-08-27","Category","features/category/category.feature.spec.js","",""
"","9210","Login User with correct email and password","chromium","2026-08-27","passed","2026-08-27","Login","features/login/login.feature.spec.js","",""
"","2514","Verify all products and product detail page","chromium","2026-08-27","passed","2026-08-27","Products","features/products/products.feature.spec.js","",""
"","1885","Verify Subscription in home page","chromium","2026-08-27","passed","2026-08-27","Home","features/home/home.feature.spec.js","",""
"","8094","Register user with existing email","chromium","2026-08-27","passed","2026-08-27","Register","features/register/register.feature.spec.js","",""
"","11546","View & Cart Brand Products","chromium","2026-08-27","passed","2026-08-27","Brand Products","features/brand/brand.feature.spec.js","",""
"","3748","Add Products in Cart","chromium","2026-08-27","passed","2026-08-27","Products","features/products/products.feature.spec.js","",""
"","2304","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-08-27","passed","2026-08-27","Home","features/home/home.feature.spec.js","",""
"","4009","Add review on product","chromium","2026-08-27","passed","2026-08-27","Products","features/products/products.feature.spec.js","",""
"","14694","Place Order: Register while Checkout","chromium","2026-08-27","passed","2026-08-27","Checkout","features/checkout/checkout.feature.spec.js","",""
"","4273","Submit contact us form successfully","chromium","2026-08-27","passed","2026-08-27","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","7950","Add to cart from Recommended items","chromium","2026-08-27","passed","2026-08-27","Home","features/home/home.feature.spec.js","",""
"","1223","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-08-27","passed","2026-08-27","Home","features/home/home.feature.spec.js","",""
"","6607","Navigate to test cases page successfully","chromium","2026-08-27","passed","2026-08-27","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","5632","Register user","chromium","2026-08-27","passed","2026-08-27","Register","features/register/register.feature.spec.js","",""
"","19168","Place Order: Login before Checkout","chromium","2026-08-27","passed","2026-08-27","Checkout","features/checkout/checkout.feature.spec.js","",""
"","13190","Verify address details in checkout page","chromium","2026-08-27","passed","2026-08-27","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3856","Remove Products From Cart","chromium","2026-08-27","passed","2026-08-27","Products","features/products/products.feature.spec.js","",""
"","9781","Logout User","chromium","2026-08-27","passed","2026-08-27","Login","features/login/login.feature.spec.js","",""
"","3983","Search Product","chromium","2026-08-27","passed","2026-08-27","Products","features/products/products.feature.spec.js","",""
"","6763","Login User with incorrect email and password","chromium","2026-08-27","passed","2026-08-27","Login","features/login/login.feature.spec.js","",""
"","7483","Verify Product quantity in Cart","chromium","2026-08-27","passed","2026-08-27","Products","features/products/products.feature.spec.js","",""
"","17705","Download Invoice after purchase order","chromium","2026-08-27","passed","2026-08-27","Checkout","features/checkout/checkout.feature.spec.js","",""
