"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1218","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-09-04","passed","2026-09-04","Home","features/home/home.feature.spec.js","",""
"","5560","Login User with correct email and password","chromium","2026-09-04","passed","2026-09-04","Login","features/login/login.feature.spec.js","",""
"","4119","Remove Products From Cart","chromium","2026-09-04","passed","2026-09-04","Products","features/products/products.feature.spec.js","",""
"","2507","Verify Subscription in home page","chromium","2026-09-04","passed","2026-09-04","Home","features/home/home.feature.spec.js","",""
"","2683","Navigate to test cases page successfully","chromium","2026-09-04","passed","2026-09-04","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","10339","View & Cart Brand Products","chromium","2026-09-04","passed","2026-09-04","Brand Products","features/brand/brand.feature.spec.js","",""
"","23767","Place Order: Register before Checkout","chromium","2026-09-04","passed","2026-09-04","Checkout","features/checkout/checkout.feature.spec.js","",""
"","19666","Download Invoice after purchase order","chromium","2026-09-04","passed","2026-09-04","Checkout","features/checkout/checkout.feature.spec.js","",""
"","7346","Login User with incorrect email and password","chromium","2026-09-04","passed","2026-09-04","Login","features/login/login.feature.spec.js","",""
"","7065","Register user","chromium","2026-09-04","passed","2026-09-04","Register","features/register/register.feature.spec.js","",""
"","8526","Add to cart from Recommended items","chromium","2026-09-04","passed","2026-09-04","Home","features/home/home.feature.spec.js","",""
"","1715","Verify Subscription in Cart page","chromium","2026-09-04","passed","2026-09-04","Home","features/home/home.feature.spec.js","",""
"","1453","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-09-04","passed","2026-09-04","Home","features/home/home.feature.spec.js","",""
"","7825","Register user with existing email","chromium","2026-09-04","passed","2026-09-04","Register","features/register/register.feature.spec.js","",""
"","6242","Add Products in Cart","chromium","2026-09-04","passed","2026-09-04","Products","features/products/products.feature.spec.js","",""
"","2836","Search Product","chromium","2026-09-04","passed","2026-09-04","Products","features/products/products.feature.spec.js","",""
"","17957","Verify address details in checkout page","chromium","2026-09-04","passed","2026-09-04","Checkout","features/checkout/checkout.feature.spec.js","",""
"","8804","Verify Product quantity in Cart","chromium","2026-09-04","passed","2026-09-04","Products","features/products/products.feature.spec.js","",""
"","5188","View Category Products","chromium","2026-09-04","passed","2026-09-04","Category","features/category/category.feature.spec.js","",""
"","4682","Submit contact us form successfully","chromium","2026-09-04","passed","2026-09-04","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","22538","Place Order: Login before Checkout","chromium","2026-09-04","passed","2026-09-04","Checkout","features/checkout/checkout.feature.spec.js","",""
"","7335","Logout User","chromium","2026-09-04","passed","2026-09-04","Login","features/login/login.feature.spec.js","",""
"","2343","Add review on product","chromium","2026-09-04","passed","2026-09-04","Products","features/products/products.feature.spec.js","",""
"","3695","Verify all products and product detail page","chromium","2026-09-04","passed","2026-09-04","Products","features/products/products.feature.spec.js","",""
"","18227","Search Products and Verify Cart After Login","chromium","2026-09-04","passed","2026-09-04","Products","features/products/products.feature.spec.js","",""
"","19042","Place Order: Register while Checkout","chromium","2026-09-04","passed","2026-09-04","Checkout","features/checkout/checkout.feature.spec.js","",""
