"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3538","Add review on product","chromium","2026-09-23","passed","2026-09-23","Products","features/products/products.feature.spec.js","",""
"","7143","Navigate to test cases page successfully","chromium","2026-09-23","passed","2026-09-23","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","22800","Place Order: Register before Checkout","chromium","2026-09-23","passed","2026-09-23","Checkout","features/checkout/checkout.feature.spec.js","",""
"","1509","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-09-23","passed","2026-09-23","Home","features/home/home.feature.spec.js","",""
"","15122","Logout User","chromium","2026-09-23","passed","2026-09-23","Login","features/login/login.feature.spec.js","",""
"","20321","Verify address details in checkout page","chromium","2026-09-23","passed","2026-09-23","Checkout","features/checkout/checkout.feature.spec.js","",""
"","8200","Login User with correct email and password","chromium","2026-09-23","passed","2026-09-23","Login","features/login/login.feature.spec.js","",""
"","14528","Add to cart from Recommended items","chromium","2026-09-23","passed","2026-09-23","Home","features/home/home.feature.spec.js","",""
"","6671","View & Cart Brand Products","chromium","2026-09-23","passed","2026-09-23","Brand Products","features/brand/brand.feature.spec.js","",""
"","2364","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-09-23","passed","2026-09-23","Home","features/home/home.feature.spec.js","",""
"","21324","Download Invoice after purchase order","chromium","2026-09-23","passed","2026-09-23","Checkout","features/checkout/checkout.feature.spec.js","",""
"","23830","Place Order: Register while Checkout","chromium","2026-09-23","passed","2026-09-23","Checkout","features/checkout/checkout.feature.spec.js","",""
"","27803","Place Order: Login before Checkout","chromium","2026-09-23","passed","2026-09-23","Checkout","features/checkout/checkout.feature.spec.js","",""
"","8062","Register user with existing email","chromium","2026-09-23","passed","2026-09-23","Register","features/register/register.feature.spec.js","",""
"","7183","Submit contact us form successfully","chromium","2026-09-23","passed","2026-09-23","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","6722","Add Products in Cart","chromium","2026-09-23","passed","2026-09-23","Products","features/products/products.feature.spec.js","",""
"","17840","Search Products and Verify Cart After Login","chromium","2026-09-23","passed","2026-09-23","Products","features/products/products.feature.spec.js","",""
"","3584","Verify Subscription in Cart page","chromium","2026-09-23","passed","2026-09-23","Home","features/home/home.feature.spec.js","",""
"","7144","Login User with incorrect email and password","chromium","2026-09-23","passed","2026-09-23","Login","features/login/login.feature.spec.js","",""
"","2589","Verify Subscription in home page","chromium","2026-09-23","passed","2026-09-23","Home","features/home/home.feature.spec.js","",""
"","11422","View Category Products","chromium","2026-09-23","passed","2026-09-23","Category","features/category/category.feature.spec.js","",""
"","10211","Verify Product quantity in Cart","chromium","2026-09-23","passed","2026-09-23","Products","features/products/products.feature.spec.js","",""
"","4552","Remove Products From Cart","chromium","2026-09-23","passed","2026-09-23","Products","features/products/products.feature.spec.js","",""
"","5862","Verify all products and product detail page","chromium","2026-09-23","passed","2026-09-23","Products","features/products/products.feature.spec.js","",""
"","5244","Register user","chromium","2026-09-23","passed","2026-09-23","Register","features/register/register.feature.spec.js","",""
"","9222","Search Product","chromium","2026-09-23","passed","2026-09-23","Products","features/products/products.feature.spec.js","",""
