"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4695","View Category Products","chromium","2026-08-26","passed","2026-08-26","Category","features/category/category.feature.spec.js","",""
"","19660","Place Order: Login before Checkout","chromium","2026-08-26","passed","2026-08-26","Checkout","features/checkout/checkout.feature.spec.js","",""
"","13620","Verify address details in checkout page","chromium","2026-08-26","passed","2026-08-26","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3769","Submit contact us form successfully","chromium","2026-08-26","passed","2026-08-26","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","8138","Register user with existing email","chromium","2026-08-26","passed","2026-08-26","Register","features/register/register.feature.spec.js","",""
"","7304","Login User with incorrect email and password","chromium","2026-08-26","passed","2026-08-26","Login","features/login/login.feature.spec.js","",""
"","4549","Login User with correct email and password","chromium","2026-08-26","passed","2026-08-26","Login","features/login/login.feature.spec.js","",""
"","16787","Download Invoice after purchase order","chromium","2026-08-26","passed","2026-08-26","Checkout","features/checkout/checkout.feature.spec.js","",""
"","15954","Place Order: Register while Checkout","chromium","2026-08-26","passed","2026-08-26","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2930","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-08-26","passed","2026-08-26","Home","features/home/home.feature.spec.js","",""
"","2397","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-08-26","passed","2026-08-26","Home","features/home/home.feature.spec.js","",""
"","11108","Search Products and Verify Cart After Login","chromium","2026-08-26","passed","2026-08-26","Products","features/products/products.feature.spec.js","",""
"","5161","Add Products in Cart","chromium","2026-08-26","passed","2026-08-26","Products","features/products/products.feature.spec.js","",""
"","8083","Add to cart from Recommended items","chromium","2026-08-26","passed","2026-08-26","Home","features/home/home.feature.spec.js","",""
"","18703","Place Order: Register before Checkout","chromium","2026-08-26","passed","2026-08-26","Checkout","features/checkout/checkout.feature.spec.js","",""
"","5311","View & Cart Brand Products","chromium","2026-08-26","passed","2026-08-26","Brand Products","features/brand/brand.feature.spec.js","",""
"","7028","Navigate to test cases page successfully","chromium","2026-08-26","passed","2026-08-26","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","3121","Verify Product quantity in Cart","chromium","2026-08-26","passed","2026-08-26","Products","features/products/products.feature.spec.js","",""
"","3562","Add review on product","chromium","2026-08-26","passed","2026-08-26","Products","features/products/products.feature.spec.js","",""
"","4203","Remove Products From Cart","chromium","2026-08-26","passed","2026-08-26","Products","features/products/products.feature.spec.js","",""
"","3214","Verify all products and product detail page","chromium","2026-08-26","passed","2026-08-26","Products","features/products/products.feature.spec.js","",""
"","2931","Verify Subscription in Cart page","chromium","2026-08-26","passed","2026-08-26","Home","features/home/home.feature.spec.js","",""
"","5368","Logout User","chromium","2026-08-26","passed","2026-08-26","Login","features/login/login.feature.spec.js","",""
"","5416","Register user","chromium","2026-08-26","passed","2026-08-26","Register","features/register/register.feature.spec.js","",""
"","3889","Search Product","chromium","2026-08-26","passed","2026-08-26","Products","features/products/products.feature.spec.js","",""
"","1832","Verify Subscription in home page","chromium","2026-08-26","passed","2026-08-26","Home","features/home/home.feature.spec.js","",""
