"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9509","Add to cart from Recommended items","chromium","2026-08-30","passed","2026-08-30","Home","features/home/home.feature.spec.js","",""
"","8262","Add Products in Cart","chromium","2026-08-30","passed","2026-08-30","Products","features/products/products.feature.spec.js","",""
"","3653","Verify Subscription in Cart page","chromium","2026-08-30","passed","2026-08-30","Home","features/home/home.feature.spec.js","",""
"","4289","Submit contact us form successfully","chromium","2026-08-30","passed","2026-08-30","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","10839","View & Cart Brand Products","chromium","2026-08-30","passed","2026-08-30","Brand Products","features/brand/brand.feature.spec.js","",""
"","8498","Logout User","chromium","2026-08-30","passed","2026-08-30","Login","features/login/login.feature.spec.js","",""
"","2146","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-08-30","passed","2026-08-30","Home","features/home/home.feature.spec.js","",""
"","3184","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-08-30","passed","2026-08-30","Home","features/home/home.feature.spec.js","",""
"","4338","Verify all products and product detail page","chromium","2026-08-30","passed","2026-08-30","Products","features/products/products.feature.spec.js","",""
"","7943","Navigate to test cases page successfully","chromium","2026-08-30","passed","2026-08-30","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","14999","Search Products and Verify Cart After Login","chromium","2026-08-30","passed","2026-08-30","Products","features/products/products.feature.spec.js","",""
"","8129","Login User with incorrect email and password","chromium","2026-08-30","passed","2026-08-30","Login","features/login/login.feature.spec.js","",""
"","5246","Verify Product quantity in Cart","chromium","2026-08-30","passed","2026-08-30","Products","features/products/products.feature.spec.js","",""
"","7397","Register user","chromium","2026-08-30","passed","2026-08-30","Register","features/register/register.feature.spec.js","",""
"","4093","Register user with existing email","chromium","2026-08-30","passed","2026-08-30","Register","features/register/register.feature.spec.js","",""
"","4993","Add review on product","chromium","2026-08-30","passed","2026-08-30","Products","features/products/products.feature.spec.js","",""
"","20659","Place Order: Register before Checkout","chromium","2026-08-30","passed","2026-08-30","Checkout","features/checkout/checkout.feature.spec.js","",""
"","17113","Verify address details in checkout page","chromium","2026-08-30","passed","2026-08-30","Checkout","features/checkout/checkout.feature.spec.js","",""
"","18321","Download Invoice after purchase order","chromium","2026-08-30","passed","2026-08-30","Checkout","features/checkout/checkout.feature.spec.js","",""
"","8137","Login User with correct email and password","chromium","2026-08-30","passed","2026-08-30","Login","features/login/login.feature.spec.js","",""
"","5846","View Category Products","chromium","2026-08-30","passed","2026-08-30","Category","features/category/category.feature.spec.js","",""
"","25106","Place Order: Login before Checkout","chromium","2026-08-30","passed","2026-08-30","Checkout","features/checkout/checkout.feature.spec.js","",""
"","5926","Remove Products From Cart","chromium","2026-08-30","passed","2026-08-30","Products","features/products/products.feature.spec.js","",""
"","20536","Place Order: Register while Checkout","chromium","2026-08-30","passed","2026-08-30","Checkout","features/checkout/checkout.feature.spec.js","",""
"","1514","Verify Subscription in home page","chromium","2026-08-30","passed","2026-08-30","Home","features/home/home.feature.spec.js","",""
"","5139","Search Product","chromium","2026-08-30","passed","2026-08-30","Products","features/products/products.feature.spec.js","",""
