"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2825","Verify Subscription in Cart page","chromium","2026-09-19","passed","2026-09-19","Home","features/home/home.feature.spec.js","",""
"","5412","Add Products in Cart","chromium","2026-09-19","passed","2026-09-19","Products","features/products/products.feature.spec.js","",""
"","11764","Search Products and Verify Cart After Login","chromium","2026-09-19","passed","2026-09-19","Products","features/products/products.feature.spec.js","",""
"","4080","Submit contact us form successfully","chromium","2026-09-19","passed","2026-09-19","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","5899","View & Cart Brand Products","chromium","2026-09-19","passed","2026-09-19","Brand Products","features/brand/brand.feature.spec.js","",""
"","1861","Verify Subscription in home page","chromium","2026-09-19","passed","2026-09-19","Home","features/home/home.feature.spec.js","",""
"","6020","Login User with correct email and password","chromium","2026-09-19","passed","2026-09-19","Login","features/login/login.feature.spec.js","",""
"","5461","Register user","chromium","2026-09-19","passed","2026-09-19","Register","features/register/register.feature.spec.js","",""
"","5531","View Category Products","chromium","2026-09-19","passed","2026-09-19","Category","features/category/category.feature.spec.js","",""
"","17328","Download Invoice after purchase order","chromium","2026-09-19","passed","2026-09-19","Checkout","features/checkout/checkout.feature.spec.js","",""
"","20498","Place Order: Login before Checkout","chromium","2026-09-19","passed","2026-09-19","Checkout","features/checkout/checkout.feature.spec.js","",""
"","8258","Register user with existing email","chromium","2026-09-19","passed","2026-09-19","Register","features/register/register.feature.spec.js","",""
"","2999","Verify all products and product detail page","chromium","2026-09-19","passed","2026-09-19","Products","features/products/products.feature.spec.js","",""
"","5967","Logout User","chromium","2026-09-19","passed","2026-09-19","Login","features/login/login.feature.spec.js","",""
"","2996","Verify Product quantity in Cart","chromium","2026-09-19","passed","2026-09-19","Products","features/products/products.feature.spec.js","",""
"","18689","Place Order: Register before Checkout","chromium","2026-09-19","passed","2026-09-19","Checkout","features/checkout/checkout.feature.spec.js","",""
"","18241","Place Order: Register while Checkout","chromium","2026-09-19","passed","2026-09-19","Checkout","features/checkout/checkout.feature.spec.js","",""
"","14189","Verify address details in checkout page","chromium","2026-09-19","passed","2026-09-19","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3315","Search Product","chromium","2026-09-19","passed","2026-09-19","Products","features/products/products.feature.spec.js","",""
"","1791","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-09-19","passed","2026-09-19","Home","features/home/home.feature.spec.js","",""
"","2253","Login User with incorrect email and password","chromium","2026-09-19","passed","2026-09-19","Login","features/login/login.feature.spec.js","",""
"","3816","Add review on product","chromium","2026-09-19","passed","2026-09-19","Products","features/products/products.feature.spec.js","",""
"","8466","Add to cart from Recommended items","chromium","2026-09-19","passed","2026-09-19","Home","features/home/home.feature.spec.js","",""
"","2959","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-09-19","passed","2026-09-19","Home","features/home/home.feature.spec.js","",""
"","2072","Navigate to test cases page successfully","chromium","2026-09-19","passed","2026-09-19","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","4421","Remove Products From Cart","chromium","2026-09-19","passed","2026-09-19","Products","features/products/products.feature.spec.js","",""
