"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6183","Add Products in Cart","chromium","2026-08-28","passed","2026-08-28","Products","features/products/products.feature.spec.js","",""
"","7467","Register user with existing email","chromium","2026-08-28","passed","2026-08-28","Register","features/register/register.feature.spec.js","",""
"","9674","Login User with correct email and password","chromium","2026-08-28","passed","2026-08-28","Login","features/login/login.feature.spec.js","",""
"","5235","View Category Products","chromium","2026-08-28","passed","2026-08-28","Category","features/category/category.feature.spec.js","",""
"","3564","Add review on product","chromium","2026-08-28","passed","2026-08-28","Products","features/products/products.feature.spec.js","",""
"","14605","Search Products and Verify Cart After Login","chromium","2026-08-28","passed","2026-08-28","Products","features/products/products.feature.spec.js","",""
"","3972","Register user","chromium","2026-08-28","passed","2026-08-28","Register","features/register/register.feature.spec.js","",""
"","15289","Verify address details in checkout page","chromium","2026-08-28","passed","2026-08-28","Checkout","features/checkout/checkout.feature.spec.js","",""
"","21730","Place Order: Login before Checkout","chromium","2026-08-28","passed","2026-08-28","Checkout","features/checkout/checkout.feature.spec.js","",""
"","17385","Place Order: Register while Checkout","chromium","2026-08-28","passed","2026-08-28","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3454","Search Product","chromium","2026-08-28","passed","2026-08-28","Products","features/products/products.feature.spec.js","",""
"","17356","Download Invoice after purchase order","chromium","2026-08-28","passed","2026-08-28","Checkout","features/checkout/checkout.feature.spec.js","",""
"","5860","View & Cart Brand Products","chromium","2026-08-28","passed","2026-08-28","Brand Products","features/brand/brand.feature.spec.js","",""
"","2190","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-08-28","passed","2026-08-28","Home","features/home/home.feature.spec.js","",""
"","2797","Verify all products and product detail page","chromium","2026-08-28","passed","2026-08-28","Products","features/products/products.feature.spec.js","",""
"","3810","Verify Product quantity in Cart","chromium","2026-08-28","passed","2026-08-28","Products","features/products/products.feature.spec.js","",""
"","3180","Verify Subscription in Cart page","chromium","2026-08-28","passed","2026-08-28","Home","features/home/home.feature.spec.js","",""
"","8651","Add to cart from Recommended items","chromium","2026-08-28","passed","2026-08-28","Home","features/home/home.feature.spec.js","",""
"","7280","Navigate to test cases page successfully","chromium","2026-08-28","passed","2026-08-28","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","2678","Verify Subscription in home page","chromium","2026-08-28","passed","2026-08-28","Home","features/home/home.feature.spec.js","",""
"","2729","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-08-28","passed","2026-08-28","Home","features/home/home.feature.spec.js","",""
"","20336","Place Order: Register before Checkout","chromium","2026-08-28","passed","2026-08-28","Checkout","features/checkout/checkout.feature.spec.js","",""
"","4097","Remove Products From Cart","chromium","2026-08-28","passed","2026-08-28","Products","features/products/products.feature.spec.js","",""
"","4081","Logout User","chromium","2026-08-28","passed","2026-08-28","Login","features/login/login.feature.spec.js","",""
"","3832","Submit contact us form successfully","chromium","2026-08-28","passed","2026-08-28","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","7753","Login User with incorrect email and password","chromium","2026-08-28","passed","2026-08-28","Login","features/login/login.feature.spec.js","",""
