"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5114","Logout User","chromium","2026-09-03","passed","2026-09-03","Login","features/login/login.feature.spec.js","",""
"","7633","Register user with existing email","chromium","2026-09-03","passed","2026-09-03","Register","features/register/register.feature.spec.js","",""
"","4678","Register user","chromium","2026-09-03","passed","2026-09-03","Register","features/register/register.feature.spec.js","",""
"","2851","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-09-03","passed","2026-09-03","Home","features/home/home.feature.spec.js","",""
"","3173","Submit contact us form successfully","chromium","2026-09-03","passed","2026-09-03","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","2001","Verify Subscription in home page","chromium","2026-09-03","passed","2026-09-03","Home","features/home/home.feature.spec.js","",""
"","2898","Verify Product quantity in Cart","chromium","2026-09-03","passed","2026-09-03","Products","features/products/products.feature.spec.js","",""
"","2522","Verify all products and product detail page","chromium","2026-09-03","passed","2026-09-03","Products","features/products/products.feature.spec.js","",""
"","2638","Verify Subscription in Cart page","chromium","2026-09-03","passed","2026-09-03","Home","features/home/home.feature.spec.js","",""
"","2310","Login User with incorrect email and password","chromium","2026-09-03","passed","2026-09-03","Login","features/login/login.feature.spec.js","",""
"","3442","Search Product","chromium","2026-09-03","passed","2026-09-03","Products","features/products/products.feature.spec.js","",""
"","9308","Search Products and Verify Cart After Login","chromium","2026-09-03","passed","2026-09-03","Products","features/products/products.feature.spec.js","",""
"","4004","Add review on product","chromium","2026-09-03","passed","2026-09-03","Products","features/products/products.feature.spec.js","",""
"","4829","Login User with correct email and password","chromium","2026-09-03","passed","2026-09-03","Login","features/login/login.feature.spec.js","",""
"","20767","Place Order: Login before Checkout","chromium","2026-09-03","passed","2026-09-03","Checkout","features/checkout/checkout.feature.spec.js","",""
"","5176","View & Cart Brand Products","chromium","2026-09-03","passed","2026-09-03","Brand Products","features/brand/brand.feature.spec.js","",""
"","16551","Place Order: Register while Checkout","chromium","2026-09-03","passed","2026-09-03","Checkout","features/checkout/checkout.feature.spec.js","",""
"","1846","Navigate to test cases page successfully","chromium","2026-09-03","passed","2026-09-03","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","3352","Remove Products From Cart","chromium","2026-09-03","passed","2026-09-03","Products","features/products/products.feature.spec.js","",""
"","5293","Add Products in Cart","chromium","2026-09-03","passed","2026-09-03","Products","features/products/products.feature.spec.js","",""
"","13962","Verify address details in checkout page","chromium","2026-09-03","passed","2026-09-03","Checkout","features/checkout/checkout.feature.spec.js","",""
"","1907","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-09-03","passed","2026-09-03","Home","features/home/home.feature.spec.js","",""
"","18669","Place Order: Register before Checkout","chromium","2026-09-03","passed","2026-09-03","Checkout","features/checkout/checkout.feature.spec.js","",""
"","5209","View Category Products","chromium","2026-09-03","passed","2026-09-03","Category","features/category/category.feature.spec.js","",""
"","17121","Download Invoice after purchase order","chromium","2026-09-03","passed","2026-09-03","Checkout","features/checkout/checkout.feature.spec.js","",""
"","8289","Add to cart from Recommended items","chromium","2026-09-03","passed","2026-09-03","Home","features/home/home.feature.spec.js","",""
