"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7752","Login User with incorrect email and password","chromium","2026-09-14","passed","2026-09-14","Login","features/login/login.feature.spec.js","",""
"","25004","Place Order: Login before Checkout","chromium","2026-09-14","passed","2026-09-14","Checkout","features/checkout/checkout.feature.spec.js","",""
"","16837","Verify address details in checkout page","chromium","2026-09-14","passed","2026-09-14","Checkout","features/checkout/checkout.feature.spec.js","",""
"","9977","Verify Product quantity in Cart","chromium","2026-09-14","passed","2026-09-14","Products","features/products/products.feature.spec.js","",""
"","7457","Navigate to test cases page successfully","chromium","2026-09-14","passed","2026-09-14","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","11583","Login User with correct email and password","chromium","2026-09-14","passed","2026-09-14","Login","features/login/login.feature.spec.js","",""
"","5527","Remove Products From Cart","chromium","2026-09-14","passed","2026-09-14","Products","features/products/products.feature.spec.js","",""
"","6652","Add Products in Cart","chromium","2026-09-14","passed","2026-09-14","Products","features/products/products.feature.spec.js","",""
"","17292","Search Products and Verify Cart After Login","chromium","2026-09-14","failed","2026-09-14","Products","features/products/products.feature.spec.js","",""
"","9234","Register user with existing email","chromium","2026-09-14","passed","2026-09-14","Register","features/register/register.feature.spec.js","",""
"","5257","View Category Products","chromium","2026-09-14","passed","2026-09-14","Category","features/category/category.feature.spec.js","",""
"","13528","Logout User","chromium","2026-09-14","passed","2026-09-14","Login","features/login/login.feature.spec.js","",""
"","3311","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-09-14","passed","2026-09-14","Home","features/home/home.feature.spec.js","",""
"","3764","Verify all products and product detail page","chromium","2026-09-14","passed","2026-09-14","Products","features/products/products.feature.spec.js","",""
"","3708","Search Product","chromium","2026-09-14","passed","2026-09-14","Products","features/products/products.feature.spec.js","",""
"","21141","Place Order: Register while Checkout","chromium","2026-09-14","passed","2026-09-14","Checkout","features/checkout/checkout.feature.spec.js","",""
"","3447","Verify Subscription in home page","chromium","2026-09-14","passed","2026-09-14","Home","features/home/home.feature.spec.js","",""
"","3797","Add review on product","chromium","2026-09-14","passed","2026-09-14","Products","features/products/products.feature.spec.js","",""
"","11034","View & Cart Brand Products","chromium","2026-09-14","passed","2026-09-14","Brand Products","features/brand/brand.feature.spec.js","",""
"","5520","Register user","chromium","2026-09-14","passed","2026-09-14","Register","features/register/register.feature.spec.js","",""
"","1771","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-09-14","passed","2026-09-14","Home","features/home/home.feature.spec.js","",""
"","9229","Add to cart from Recommended items","chromium","2026-09-14","passed","2026-09-14","Home","features/home/home.feature.spec.js","",""
"","4411","Submit contact us form successfully","chromium","2026-09-14","passed","2026-09-14","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","30941","Download Invoice after purchase order","chromium","2026-09-14","broken","2026-09-14","Checkout","features/checkout/checkout.feature.spec.js","",""
"","22545","Place Order: Register before Checkout","chromium","2026-09-14","passed","2026-09-14","Checkout","features/checkout/checkout.feature.spec.js","",""
"","2772","Verify Subscription in Cart page","chromium","2026-09-14","passed","2026-09-14","Home","features/home/home.feature.spec.js","",""
