"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1294","Verify Scroll Up without Arrow button and Scroll Down functionality","chromium","2026-09-09","passed","2026-09-09","Home","features/home/home.feature.spec.js","",""
"","8535","View Category Products","chromium","2026-09-09","passed","2026-09-09","Category","features/category/category.feature.spec.js","",""
"","17004","Download Invoice after purchase order","chromium","2026-09-09","passed","2026-09-09","Checkout","features/checkout/checkout.feature.spec.js","",""
"","18455","Place Order: Register before Checkout","chromium","2026-09-09","passed","2026-09-09","Checkout","features/checkout/checkout.feature.spec.js","",""
"","15873","Logout User","chromium","2026-09-09","passed","2026-09-09","Login","features/login/login.feature.spec.js","",""
"","3764","Add review on product","chromium","2026-09-09","passed","2026-09-09","Products","features/products/products.feature.spec.js","",""
"","4756","Submit contact us form successfully","chromium","2026-09-09","passed","2026-09-09","Contact Us","features/contact_us/contact_us.feature.spec.js","",""
"","10344","Login User with correct email and password","chromium","2026-09-09","passed","2026-09-09","Login","features/login/login.feature.spec.js","",""
"","3672","Search Product","chromium","2026-09-09","passed","2026-09-09","Products","features/products/products.feature.spec.js","",""
"","5813","Remove Products From Cart","chromium","2026-09-09","passed","2026-09-09","Products","features/products/products.feature.spec.js","",""
"","7546","Add to cart from Recommended items","chromium","2026-09-09","passed","2026-09-09","Home","features/home/home.feature.spec.js","",""
"","9448","Add Products in Cart","chromium","2026-09-09","passed","2026-09-09","Products","features/products/products.feature.spec.js","",""
"","2307","Verify Subscription in Cart page","chromium","2026-09-09","passed","2026-09-09","Home","features/home/home.feature.spec.js","",""
"","1870","Verify Scroll Up using Arrow button and Scroll Down functionality","chromium","2026-09-09","passed","2026-09-09","Home","features/home/home.feature.spec.js","",""
"","10808","Search Products and Verify Cart After Login","chromium","2026-09-09","passed","2026-09-09","Products","features/products/products.feature.spec.js","",""
"","6837","Login User with incorrect email and password","chromium","2026-09-09","passed","2026-09-09","Login","features/login/login.feature.spec.js","",""
"","1800","Verify Subscription in home page","chromium","2026-09-09","passed","2026-09-09","Home","features/home/home.feature.spec.js","",""
"","6369","Verify Product quantity in Cart","chromium","2026-09-09","passed","2026-09-09","Products","features/products/products.feature.spec.js","",""
"","16446","Place Order: Register while Checkout","chromium","2026-09-09","passed","2026-09-09","Checkout","features/checkout/checkout.feature.spec.js","",""
"","8105","Register user with existing email","chromium","2026-09-09","passed","2026-09-09","Register","features/register/register.feature.spec.js","",""
"","4962","Verify all products and product detail page","chromium","2026-09-09","passed","2026-09-09","Products","features/products/products.feature.spec.js","",""
"","4302","View & Cart Brand Products","chromium","2026-09-09","passed","2026-09-09","Brand Products","features/brand/brand.feature.spec.js","",""
"","7098","Navigate to test cases page successfully","chromium","2026-09-09","passed","2026-09-09","Test Cases Page","features/test_cases/test_cases.feature.spec.js","",""
"","12934","Verify address details in checkout page","chromium","2026-09-09","passed","2026-09-09","Checkout","features/checkout/checkout.feature.spec.js","",""
"","19425","Place Order: Login before Checkout","chromium","2026-09-09","passed","2026-09-09","Checkout","features/checkout/checkout.feature.spec.js","",""
"","6138","Register user","chromium","2026-09-09","passed","2026-09-09","Register","features/register/register.feature.spec.js","",""
